1547,2022-10-09 22:59:27,550
1303,2022-06-10 05:50:15,650
1596,2022-06-11 12:36:17,-350
1332,2022-01-28 07:42:16,300
1094,2022-06-05 14:48:09,100
1600,2022-09-07 01:41:25,300
1261,2022-11-17 14:09:09,-300
1214,2022-09-26 19:46:18,-100
1665,2022-02-01 19:31:04,550
1366,2022-11-05 20:09:24,350
1706,2022-06-25 19:14:22,-200
1113,2022-02-28 12:39:24,750
1680,2022-09-24 13:38:28,150
1173,2022-01-07 05:21:07,-200
1363,2022-10-27 22:34:05,700
1325,2022-06-28 19:18:44,150
1335,2022-02-26 01:01:24,250
1094,2022-06-24 06:16:21,150
1149,2022-07-18 15:04:33,300
1263,2022-12-28 15:08:59,100
1074,2022-04-16 13:25:13,-200
1398,2022-07-15 17:49:01,250
1165,2022-07-26 01:32:45,750
1706,2022-04-16 22:29:41,-650
1052,2022-12-15 23:57:16,-150
1566,2022-08-15 10:16:15,100
1552,2022-08-18 19:12:48,50
1240,2022-03-27 06:05:04,750
1582,2022-05-20 04:33:16,50
1681,2022-02-09 12:27:31,250
1487,2022-05-24 07:46:42,-200
1182,2022-03-03 07:43:08,350
1332,2022-12-11 09:44:59,450
1422,2022-10-01 18:20:35,300
1401,2022-08-15 21:42:29,-1150
1216,2022-07-28 16:21:05,50
1296,2022-12-11 15:25:18,-250
1109,2022-03-21 08:58:51,300
1317,2022-10-24 05:09:05,50
1060,2022-09-06 18:20:20,400
1510,2022-09-08 20:52:16,700
1306,2022-08-15 09:38:07,-300
1014,2022-02-10 19:14:03,250
1184,2022-11-25 12:29:45,550
1570,2022-07-11 03:18:59,600
1257,2022-03-19 12:19:44,700
1673,2022-01-15 19:19:09,-200
1537,2022-08-07 04:36:54,100
1225,2022-11-16 23:32:27,700
1283,2022-01-12 23:14:49,-450
1273,2022-01-23 19:39:47,-300
1638,2022-01-10 19:49:11,-200
1465,2022-10-11 05:48:10,700
1491,2022-04-04 21:39:34,-500
1312,2022-06-01 01:12:42,50
1259,2022-02-20 10:09:56,-50
1345,2022-02-14 11:50:03,-400
1329,2022-12-05 03:25:55,-400
1004,2022-08-24 18:28:02,550
1369,2022-08-24 02:26:13,750
1586,2022-10-22 20:40:49,550
1459,2022-05-18 03:32:55,100
1634,2022-11-11 10:33:17,250
1091,2022-01-07 19:10:20,650
1017,2022-11-19 10:50:24,100
1212,2022-11-08 08:43:21,150
1475,2022-11-24 20:52:10,-350
1154,2022-08-28 20:40:55,300
1006,2022-03-15 15:04:01,650
1263,2022-06-20 08:55:15,150
1424,2022-07-20 06:09:36,-200
1230,2022-03-15 11:09:24,-100
1355,2022-08-04 11:47:23,450
